Biology,Anatomy,AP Biology,AP Environmental,AP Psychology,Bioorganic 
Chemistry,Genetics,Introduction to Neuroscience,Living Environment,Living Environment Lab,Environmental Sustainability,Chemistry,Regents Chemistry,AP Chemistry,Chemical Engineering,Organic Chemistry,MICA,Quantitative Analysis,Forensics,
CTE,AP Computer Science Principles (10th Grade),AP Computer Science A,Big Data Warehousing & Analytics,Computer Science & Engineering Home,Cyber Security,Digital Electronics (Project Lead the Way),Digital Systems Design,Fundamentals of IT Infrastructure,Green Building Construction,PLTW EDD,Statics,Strength of Materials,Web Development
English,9th Grade English,10th Grade English,AP Capstone Seminar,11th Grade English,AP English Language & Composition,AP Capstone Research,AP English Literature & Composition,Creative Writing,Drama,Film & Literature,Journalism,Life, Love & Death,Mystery, Horror & the Supernatural,Science Fiction & Fantasy,Yearbook,The Survey (Tech's Student Newspaper)
Health & PE,Physical Education,Health
Languages Other Than English (LOTE),Chinese,AP Chinese Language and Culture,French,AP French Language and Culture,German,AP German Language and Culture,Italian,AP Italian Language and Culture,Spanish,Spanish IV - Pre-AP,AP Spanish Language and Culture,AP Spanish Literature and Culture
Mathematics,Common Core Algebra,Common Core Geometry,Common Core Algebra II,Pre-Calculus,Calculus (non-AP),AP Calculus (AB),AP Calculus (BC),AP Statistics,Multivariable Calculus,Math Research,Linear Algebra
Physics,Regents Physics,Regents Physics Labs,AP Physics 1,AP Physics 2,AP Physics C (Mechanics),AP Physics C (E/M),Astronomy,Modern Physics
Social Studies,9th Grade Global,10th Grade Regents Global History,AP World History,AP European History,11th Grade Regents American History,AP American History,Participation in Government,AP US Government,Economics,AP Macroeconomics,AP Microeconomics,AP Comparative Government,AP Psychology,AP Human Geography,Sociology,Cultural Anthropology,Physical Anthropology
Visual & Performing Arts,Adobe Digital Video,Adobe Visual Design,Architectural Drawing w/CAD,Digital Animation,PLTW CEA,PLTW DDP (9th Grade),AP Music Theory,Basic Strings,Beginning Musicianship and Chorus,Collaborative Piano/Choral Accompaniment,Concert Band,Concert Choir,Intermediate Orchestra,Jazz Band,Junior Band,Orchestra,String Orchestra,Symphonic Band,Treble Choir,Tech Chorale,Fundamentals of Product Design,Methods of Fabrication,Advanced Modeling,Inventor Certification
